Prep Date,Site number,Quadrat,Bagged_Slice_Number,Slice_Number,Intended_Alysis,Rhizome_Slice_Y_N,Slice Height (cm; if bag says otherwise),Bella Container Weight (g),Initial Dry Sample Weight (in a tared container; includes bella container after April 1st 2020),Shell Weight (in a tared container),Belowground Biomass (in a tared container),Dried Sediment Weight (in a tared container; includes bella container after a April 1st 2020) ,LOI Crucible Number,LOI Crucible Weight (g),LOI Intial Sample Weigh (g),LOI Sample Weight Post LOI 450 (g),LOI Sample Weight Post LOI 950 (g),LOI_Notes_2,Corrected LOI Intial Sample Weigh (g),Corrected LOI Sample Weight Post LOI 450 (g),Corrected LOI Sample Weight Post LOI 950 (g),Fraction OLOI ,Fraction ILOI,% OLOI ,% ILOI,Corrected Sample Weight (g DW),Corrected Sediment Weight (g DW),Sample Bulk Density (g/cm^3),Sediment Bulk Density (g/cm^3),Organic Content (g DW),Inorganic Content (gDW),Organic Content Density (g/cm^3),Inorganic Content Density (g/cm^3),Estimated_Carbon,LOI_Notes_2
2/12/2020,SMAR01,10,1,14,LOI alysis ,N,2,,47.1502,0,0,47.1495,SC22,15.6696,30.3857,30.255,29.8595,,14.716,14.585,14.19,0.009,0.027,0.888,2.712,47.15,47.15,1.163,1.163,0.419,1.279,0.01,0.032,0.145257167,
2/12/2020,SMAR01,10,5,10,LOI alysis ,N,2,,34.9999,0,0,35.0274,SC7,15.4317,29.7708,29.4084,29.2703,,14.339,13.977,13.839,0.025,0.01,2.527,0.988,35,35.027,0.863,0.864,0.885,0.346,0.022,0.009,0.800942109,
2/12/2020,SMAR01,10,8,7,LOI alysis ,N,2,,36.1579,0,0,36.1916,SC5,14.7189,29.2034,28.7164,28.5549,,14.485,13.998,13.836,0.034,0.012,3.362,1.154,36.158,36.192,0.892,0.893,1.217,0.418,0.03,0.01,1.134885913,
2/12/2020,SMAR01,10,9,6,LOI alysis ,Y,2,,36.516,0.2338,0,36.298,SC6,13.754,27.5397,27.1007,26.9709,,13.786,13.347,13.217,0.032,0.01,3.184,0.973,36.516,36.298,0.901,0.895,1.156,0.353,0.029,0.009,1.063783703,
2/12/2020,SMAR01,10,10,5,LOI alysis ,Y,2,,42.4177,0.1101,0.0227,42.3186,SC2,15.623,31.6063,31.381,31.2867,,15.983,15.758,15.664,0.014,0.006,1.41,0.598,42.418,42.319,1.046,1.044,0.597,0.253,0.015,0.006,0.353838506,
2/12/2020,SMAR01,10,12,3,LOI alysis ,Y,2,,34.293,0.8854,0.0135,33.4116,SC3,16.2591,31.9264,31.517,31.3338,,15.667,15.258,15.075,0.026,0.012,2.613,1.201,34.293,33.412,0.846,0.824,0.873,0.401,0.022,0.01,0.835234342,
2/12/2020,SMAR01,10,13,2,LOI alysis ,Y,2,,36.9659,0.3165,0.2328,36.4516,SC8,14.1794,30.4703,30.1121,30.001,,16.291,15.933,15.822,0.022,0.007,2.199,0.697,36.966,36.452,0.912,0.899,0.801,0.254,0.02,0.006,0.669509419,
2/12/2020,SMAR01,10,14,1,LOI alysis ,Y,2,,40.3929,0.2812,0.0246,40.1572,SC21,17.4046,31.144,30.7159,30.5184,,13.739,13.311,13.114,0.031,0.015,3.116,1.484,40.393,40.157,0.996,0.991,1.251,0.596,0.031,0.015,1.036342635,
3/4/2020,SMAR23,3,1,16,LOI alysis ,N,2,,39.7158,0.057,0.0114,45.8163,SC3,16.5272,26.6984,26.5421,26.0047,,10.171,10.015,9.478,0.015,0.054,1.537,5.366,39.716,45.816,0.98,1.13,0.704,2.459,0.017,0.061,0.404676734,
3/4/2020,SMAR23,3,2,15,LOI alysis ,N,2,,37.074,0,0,37.0886,SC22,16.0635,30.9519,30.1906,29.4554,,14.888,14.127,13.392,0.051,0.052,5.113,5.204,37.074,37.089,0.915,0.915,1.896,1.93,0.047,0.048,1.835350743,
3/4/2020,SMAR23,3,7,10,LOI alysis ,N,2,,45.1838,0,0,45.1974,SC8,14.4521,29.9908,29.3444,28.6906,,15.539,14.892,14.239,0.042,0.044,4.16,4.39,45.184,45.197,1.115,1.115,1.88,1.984,0.046,0.049,1.453974464,
3/4/2020,SMAR23,3,10,7,LOI alysis ,N,2,,40.5368,0,0,40.5368,SC21,17.7715,29.9545,29.2204,28.771,,12.183,11.449,11,0.06,0.039,6.026,3.925,40.537,40.537,1,1,2.443,1.591,0.06,0.039,2.200243782,
3/4/2020,SMAR23,3,11,6,LOI alysis ,Y,2,,37.5888,2.4524,0,35.1407,SC7,15.6614,29.6913,29.0436,28.4645,,14.03,13.382,12.803,0.046,0.043,4.617,4.327,37.589,35.141,0.927,0.867,1.622,1.521,0.04,0.038,1.63662756,
3/4/2020,SMAR23,3,12,5,LOI alysis ,Y,2,,44.6887,0.2783,0,44.3985,SC2,15.9012,30.8305,29.8793,29.3782,,14.929,13.978,13.477,0.064,0.036,6.371,3.585,44.689,44.399,1.102,1.095,2.829,1.592,0.07,0.039,2.338545478,
3/4/2020,SMAR23,3,14,3,LOI alysis ,Y,2,,22.9315,0,0.5206,22.1975,SC5,14.9607,26.9081,26.2346,25.7418,,11.947,11.274,10.781,0.056,0.044,5.637,4.371,22.932,22.198,0.566,0.548,1.251,0.97,0.031,0.024,2.044883908,
3/4/2020,SMAR23,3,15,2,LOI alysis ,Y,2,,19.0253,0.8304,0.3387,17.8771,SC6,12.9675,23.9372,23.7279,23.248,,10.97,10.76,10.281,0.019,0.045,1.908,4.46,19.025,17.877,0.469,0.441,0.341,0.797,0.008,0.02,0.553193159,
3/4/2020,SMAR23,3,16,1,LOI alysis ,Y,2.6,,31.4206,0.1761,0.0506,31.196,SC12,16.0264,28.4439,27.4031,26.832,,12.418,11.377,10.806,0.084,0.05,8.382,5.02,31.421,31.196,0.596,0.592,2.615,1.566,0.05,0.03,3.142687739,
3/9/2020,SMAR12,2,1,10,LOI alysis ,N,2,,49.098,0,0,49.098,SC11,15.8036,32.8948,32.5787,32.4442,Coffee grinder blades eroded during processing,17.091,16.775,16.641,0.018,0.008,1.849,0.802,49.098,49.098,1.211,1.211,0.908,0.394,0.022,0.01,0.529795918,
3/9/2020,SMAR12,2,4,7,LOI alysis ,N,2,,51.1489,0,0,51.1489,SC13,16.7587,31.8148,31.5845,31.4432,,15.056,14.826,14.685,0.015,0.01,1.53,0.953,51.149,51.149,1.262,1.262,0.782,0.487,0.019,0.012,0.401845033,
3/9/2020,SMAR12,2,5,6,LOI alysis ,Y,2,,51.5905,0,0,51.5905,SC14,14.6021,33.9537,33.6331,33.4494,,19.352,19.031,18.847,0.017,0.01,1.657,0.965,51.591,51.591,1.273,1.273,0.855,0.498,0.021,0.012,0.452684222,
3/9/2020,SMAR12,2,6,5,LOI alysis ,Y,2,,39.4423,0.7059,0.3375,38.3911,SC10,16.1052,29.9551,29.549,29.3578,,13.85,13.444,13.253,0.029,0.014,2.932,1.422,39.442,38.391,0.973,0.947,1.126,0.546,0.028,0.013,0.962860454,
4/7/2020,SMAR12,2,8,3,LOI alysis ,Y,2,,37.2757,0.0503,0.1285,36.9195,SC12,16.0917,24.3509,24.0316,23.9209,,8.259,7.94,7.829,0.039,0.014,3.866,1.394,37.276,36.92,0.92,0.911,1.427,0.515,0.035,0.013,1.336396745,
4/7/2020,SMAR12,2,9,2,LOI alysis ,Y,2,66.8703,109.5474,0.0573,0.2537,109.2467,SC6,13.7657,27.9754,27.6319,27.4265,,14.21,13.866,13.661,0.024,0.015,2.417,1.481,42.677,42.376,1.053,1.045,1.024,0.628,0.025,0.015,0.756945115,
4/7/2020,SMAR12,2,10,1,LOI alysis ,Y,2,66.8692,98.2971,0.0736,0.3403,97.8887,SC7,15.5794,30.0625,29.5221,29.1406,,14.483,13.943,13.561,0.037,0.027,3.731,2.736,31.428,31.02,0.775,0.765,1.157,0.849,0.029,0.021,1.282498153,
4/7/2020,SMARA,1,1,12,LOI alysis ,N,2,66.8632,119.4265,9.5505,0,109.8796,SC21,17.462,28.4763,28.2395,27.6193,,11.014,10.778,10.157,0.021,0.058,2.15,5.755,52.563,43.016,1.297,1.061,0.925,2.475,0.023,0.061,0.649972944,
4/7/2020,SMARA,1,3,10,LOI alysis ,N,2,66.8628,115.5007,0.2953,0,115.2129,SC3,16.5647,29.371,28.8282,28.6738,,12.806,12.264,12.109,0.042,0.013,4.239,1.259,48.638,48.35,1.2,1.193,2.049,0.609,0.051,0.015,1.485415538,
4/7/2020,SMARA,1,6,7,LOI alysis ,N,2,66.8673,129.1252,0,0,129.1252,SC11,15.811,30.4087,30.3227,30.2574,,14.598,14.512,14.446,0.006,0.004,0.589,0.45,62.258,62.258,1.536,1.536,0.367,0.28,0.009,0.007,0.025653562,
4/7/2020,SMARA,1,7,6,LOI alysis ,Y,2,66.8634,122.2044,0,0,122.2044,SC10,16.113,31.2915,31.171,26.8445,new start weight before LOI950 because i tipped it over in the oven 26.9105 ,15.179,15.058,10.732,0.008,0.004,0.794,0.438,55.341,55.341,1.365,1.365,0.439,0.243,0.011,0.006,0.107554436,
4/7/2020,SMARA,1,8,5,LOI alysis ,Y,2,66.8651,130.5709,0,0,130.5709,SC14,14.61,30.1946,30.1263,30.0581,,15.585,15.516,15.448,0.004,0.004,0.438,0.44,63.706,63.706,1.572,1.572,0.279,0.28,0.007,0.007,-0.034698741,
4/7/2020,SMARA,1,10,3,LOI alysis ,Y,2,66.8672,120.0005,0,0,120.0005,SC5,14.7295,30.5115,30.3496,30.2555,,15.782,15.62,15.526,0.01,0.006,1.026,0.602,53.133,53.133,1.311,1.311,0.545,0.32,0.013,0.008,0.200340895,
4/7/2020,SMARA,1,11,2,LOI alysis ,Y,2,66.8678,120.6071,0,0,120.6071,SC8,14.2213,26.8244,26.6283,26.5397,,12.603,12.407,12.318,0.016,0.007,1.556,0.714,53.739,53.739,1.326,1.326,0.836,0.384,0.021,0.009,0.412386556,
4/7/2020,SMARA,1,12,1,LOI alysis ,Y,2.7,66.8697,126.2434,0,0,126.2434,SC2,15.6467,30.3332,30.0872,29.9451,,14.687,14.441,14.298,0.017,0.01,1.675,0.984,59.374,59.374,1.085,1.085,0.995,0.584,0.018,0.011,0.460003064,
4/23/2020,SMAR14,3,1,12,LOI alysis ,N,2,66.8726,114.2967,0.0236,0,114.2794,SC22,15.7027,29.9468,29.5843,29.4888,,14.244,13.882,13.786,0.025,0.007,2.545,0.688,47.424,47.407,1.17,1.169,1.206,0.326,0.03,0.008,0.807965333,
4/23/2020,SMAR14,3,3,10,LOI alysis ,N,2,66.8546,116.7517,0,0,116.7517,SC13,16.7662,32.2901,32.0016,31.9108,,15.524,15.235,15.145,0.019,0.006,1.858,0.596,49.897,49.897,1.231,1.231,0.927,0.297,0.023,0.007,0.533369901,
4/23/2020,SMAR14,3,6,7,LOI alysis ,N,2,67.86,114.9373,0,0,114.9373,SC25,12.6679,23.455,23.252,23.1838,,10.787,10.584,10.516,0.019,0.006,1.882,0.644,47.077,47.077,1.161,1.161,0.886,0.303,0.022,0.007,0.542750971,
4/23/2020,SMAR14,3,7,6,LOI alysis ,Y,2,66.8544,111.2388,0,0,111.2388,SC26,16.2591,26.9201,26.6673,26.589,,10.661,10.408,10.33,0.024,0.008,2.371,0.752,44.384,44.384,1.095,1.095,1.052,0.334,0.026,0.008,0.738503893,
4/23/2020,SMAR14,3,8,5,LOI alysis ,Y,2,66.8515,117.5951,0,0.02,115.0818,SC28,16.0709,30.8329,30.5472,30.4563,,14.762,14.476,14.385,0.019,0.006,1.935,0.628,50.744,48.23,1.252,1.19,0.933,0.303,0.023,0.007,0.564149844,
4/23/2020,SMAR14,3,10,3,LOI alysis ,Y,2,66.8738,101.1218,0,0.1865,100.9394,SC27,16.0642,28.4459,27.9269,27.7745,,12.382,11.863,11.71,0.042,0.013,4.192,1.285,34.248,34.066,0.845,0.84,1.428,0.438,0.035,0.011,1.466667986,
4/23/2020,SMAR14,3,11,2,LOI alysis ,Y,2,66.8719,102.5014,0,0.0645,102.4404,SC29,14.2795,29.7293,29.0647,28.8431,,15.45,14.785,14.564,0.043,0.015,4.302,1.499,35.63,35.569,0.879,0.877,1.53,0.533,0.038,0.013,1.510669523,
4/23/2020,SMAR14,3,12,1,LOI alysis ,Y,3.2,66.8526,128.2065,0,0.2666,127.953,SC30,16.48635,29.8994,29.5926,29.4704,,13.413,13.106,12.984,0.023,0.009,2.287,0.932,61.354,61.1,0.946,0.942,1.398,0.57,0.022,0.009,0.704929863,
4/30/2020,SMAR03,1,1,22,LOI alysis ,N,2,66.8678,99.4638,0,0,99.4638,SC30,16.8448,28.8419,28.0554,27.8441,,11.997,11.211,10.999,0.066,0.019,6.556,1.885,32.596,32.596,0.804,0.804,2.137,0.614,0.053,0.015,2.412300389,
4/30/2020,SMAR03,1,3,20,LOI alysis ,N,2,66.8659,111.3074,0,0,111.3074,SC27,16.1198,25.8903,25.6368,25.5461,,9.771,9.517,9.426,0.026,0.01,2.595,0.953,44.442,44.442,1.096,1.096,1.153,0.424,0.028,0.01,0.827817921,
4/30/2020,SMAR03,1,8,15,LOI alysis ,N,2,66.8536,119.4456,0,0,99.4638,SC26,16.542,24.975,,23.7535,Accidentally tipped this over in the furce. Took initial weight to still do LOI 950 w=23.8141,8.433,,7.212,,0.008,,0.833,52.592,32.61,1.297,0.804,0,0.272,0,0.007,-0.21,
4/30/2020,SMAR03,1,9,14,LOI alysis ,N,2,66.8479,111.7205,0,0,111.7205,SC28,16.1067,25.6889,25.4248,25.3417,,9.582,9.318,9.235,0.028,0.009,2.756,0.892,44.873,44.873,1.107,1.107,1.237,0.4,0.031,0.01,0.892460813,
4/30/2020,SMAR03,1,13,10,LOI alysis ,N,2,68.8498,116.3113,0,0,116.3113,SC29,14.6227,26.4064,25.8864,25.8009,,11.784,11.264,11.178,0.044,0.008,4.413,0.759,47.462,47.462,1.171,1.171,2.094,0.36,0.052,0.009,1.555150165,
4/30/2020,SMAR03,1,16,7,LOI alysis ,N,2,66.844,104.9956,0,0,104.9956,SC25,12.9054,27.465,26.7524,26.5806,,14.56,13.847,13.675,0.049,0.012,4.894,1.241,38.152,38.152,0.941,0.941,1.867,0.473,0.046,0.012,1.747746092,
4/30/2020,SMAR03,1,17,6,LOI alysis ,Y,2,66.8453,97.6996,0,0,97.6996,SC13,16.95,28.1382,27.5789,27.4213,,11.188,10.629,10.471,0.05,0.015,4.999,1.483,30.854,30.854,0.761,0.761,1.542,0.457,0.038,0.011,1.789606729,
4/30/2020,SMAR03,1,18,5,LOI alysis ,Y,2,66.8425,100.3014,0.176,0,100.1338,SC22,15.692,26.8791,26.4548,26.2922,,11.187,10.763,10.6,0.038,0.015,3.793,1.511,33.459,33.291,0.825,0.821,1.263,0.503,0.031,0.012,1.307104522,
4/30/2020,SMAR03,1,20,3,LOI alysis ,Y,2,66.8518,104.6953,0.271,0,104.4243,SC6,13.8231,27.9897,27.4051,27.163,,14.167,13.582,13.34,0.041,0.018,4.127,1.783,37.844,37.573,0.934,0.927,1.55,0.67,0.038,0.017,1.440643062,
4/30/2020,SMAR03,1,21,2,LOI alysis ,Y,2,66.86,108.1464,1.4507,0.0541,106.6416,SC10,16.1869,25.9611,25.5966,25.3311,,9.774,9.41,9.144,0.037,0.028,3.729,2.822,41.286,39.782,1.018,0.981,1.484,1.122,0.037,0.028,1.281682184,
4/30/2020,SMAR03,1,22,1,LOI alysis ,Y,2.2,66.8408,107.4771,0.1572,0,107.3236,SC2,15.6654,30.7817,30.3968,29.9399,,15.116,14.731,14.275,0.025,0.031,2.546,3.102,40.636,40.483,0.911,0.908,1.031,1.256,0.023,0.028,0.808503205,
5/7/2020,SMARB,1,1,22,LOI alysis ,N,2,66.8135,106.8605,0,0,106.8605,SC11,15.9118,27.0066,26.7,26.5725,,11.095,10.788,10.661,0.028,0.012,2.763,1.182,40.047,40.047,0.988,0.988,1.107,0.473,0.027,0.012,0.895382702,
5/7/2020,SMARB,1,3,20,LOI alysis ,N,2,66.8202,113.5325,0,0,113.5325,SC5,14.7402,25.6792,25.4013,25.288,,10.939,10.661,10.548,0.025,0.011,2.54,1.063,46.712,46.712,1.152,1.152,1.187,0.496,0.029,0.012,0.806180638,
5/7/2020,SMARB,1,8,15,LOI alysis ,N,2,66.8356,104.6026,0.0661,0,104.5365,SC8,14.258,25.0315,24.7219,24.5694,,10.774,10.464,10.311,0.029,0.015,2.874,1.457,37.767,37.701,0.932,0.93,1.083,0.549,0.027,0.014,0.939487168,
5/7/2020,SMARB,1,13,10,LOI alysis ,N,2,66.8391,108.9732,0,0,108.9732,SC21,17.4961,27.7068,27.3812,27.2647,,10.211,9.885,9.769,0.032,0.012,3.189,1.179,42.134,42.134,1.039,1.039,1.344,0.497,0.033,0.012,1.065524695,
5/7/2020,SMARB,1,16,5,LOI alysis ,N,2,66.8079,104.4387,0.0444,0,104.3943,SC14,14.7965,23.4143,23.0514,22.9711,,8.618,8.255,8.175,0.042,0.01,4.211,0.973,37.631,37.586,0.928,0.927,1.583,0.366,0.039,0.009,1.474420618,
5/7/2020,SMARB,1,17,6,LOI alysis ,Y,2,66.811,107.9318,0,0,107.9318,SC12,16.0582,24.885,24.6652,24.572,,8.827,8.607,8.514,0.025,0.011,2.49,1.083,41.121,41.121,1.014,1.014,1.024,0.445,0.025,0.011,0.786057461,
5/7/2020,SMARB,1,18,5,LOI alysis ,Y,2,66.81,99.5885,0.1533,0,99.4352,SC3,16.4391,25.4409,25.0242,24.9111,,9.002,8.585,8.472,0.046,0.013,4.629,1.317,32.779,32.625,0.809,0.805,1.51,0.43,0.037,0.011,1.641629674,
5/7/2020,SMARB,1,20,3,LOI alysis ,Y,2,66.8092,94.2217,0,0,94.2217,SC7,15.4675,23.6246,23.2604,23.1093,,8.157,7.793,7.642,0.045,0.019,4.465,1.939,27.413,27.413,0.676,0.676,1.224,0.532,0.03,0.013,1.575928823,
5/7/2020,SMARB,1,21,2,LOI alysis ,Y,2,66.8253,90.8494,0.0251,0,90.8243,SC9,17.1342,26.9043,26.4229,26.2301,,9.77,9.289,9.096,0.049,0.021,4.927,2.076,24.024,23.999,0.593,0.592,1.182,0.498,0.029,0.012,1.76091125,
5/7/2020,SMARB,1,22,1,LOI alysis ,Y,2.2,66.8266,110.6284,0.0874,0,110.541,SC4,16.3442,27.93,27.5977,27.4168,,11.586,11.254,11.073,0.029,0.016,2.868,1.607,43.802,43.714,0.982,0.98,1.254,0.703,0.028,0.016,0.937266481,
5/13/2020,SMARA,3,1,14,LOI alysis ,N,2,66.806,114.28,7.3045,0,106.7531,SC1,16.2259,29.0395,28.7574,28.3745,,12.814,12.532,12.149,0.022,0.031,2.202,3.056,47.474,39.947,1.171,0.985,0.879,1.221,0.022,0.03,0.670626834,
5/13/2020,SMARA,3,5,10,LOI alysis ,N,2,66.8049,106.8608,0,0,106.8608,SC16,18.2135,28.265,28.0337,27.9137,,10.052,9.82,9.7,0.023,0.012,2.301,1.222,40.056,40.056,0.988,0.988,0.922,0.489,0.023,0.012,0.710459633,
5/13/2020,SMARA,3,8,7,LOI alysis ,N,2,66.8021,109.1574,0,0,109.1574,SC17,14.4931,23.4688,23.2858,23.2077,,8.976,8.793,8.715,0.02,0.009,2.039,0.888,42.355,42.355,1.045,1.045,0.864,0.376,0.021,0.009,0.605535279,
5/13/2020,SMARA,3,9,6,LOI alysis ,Y,2,66.8002,120.2431,0,0,120.2431,SC18,15.8149,24.829,24.7216,24.6594,,9.014,8.907,8.845,0.012,0.007,1.191,0.698,53.443,53.443,1.318,1.318,0.637,0.373,0.016,0.009,0.266586681,
5/13/2020,SMARA,3,10,5,LOI alysis ,Y,2,66.77996,119.5653,0,0,119.5653,SC38,16.465,25.7851,25.7192,25.6658,,9.32,9.254,9.201,0.007,0.006,0.707,0.577,52.785,52.785,1.302,1.302,0.373,0.305,0.009,0.008,0.072829583,
5/13/2020,SMARA,3,12,3,LOI alysis ,Y,2,66.7792,95.9489,0,0,95.9489,SC37,15.8337,21.9999,21.7602,21.6696,,6.166,5.927,5.836,0.039,0.015,3.887,1.529,29.17,29.17,0.72,0.72,1.134,0.446,0.028,0.011,1.344928481,
